No,kelas,kategori,target_bulan,materi
199,SMP 3,Adab/ Tatakrama,Maret,Tata krama ketika bersin
200,SMP 3,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
201,SMP 3,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
202,SMP 3,Adab/ Tatakrama,Maret,Tata krama ketika menguap
203,SMP 3,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
204,SMP 3,Adab/ Tatakrama,November,Tata krama terhadap kerabat
205,SMP 3,Adab/ Tatakrama,Februari,Tata krama terhadap lingkungan dan alam sekitar
206,SMP 3,Adab/ Tatakrama,Desember,Tata krama terhadap tetangga
207,SMP 3,Adab/ Tatakrama,September,Tata krama terhadap ulil amri
208,SMP 3,Adab/ Tatakrama,Februari,Tata krama tidur
209,SMP 3,Materi Dasar Keagamaan,Januari,Thoharoh dan Sholat
210,SMP 3,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
211,SMA 1,Materi Dasar Keagamaan,Juni,Aurat
212,SMA 1,Adab/ Tatakrama,September,Bergaul dengan teman
213,SMA 1,Adab/ Tatakrama,Januari,Berpakaian
214,SMA 1,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
215,SMA 1,Hafalan Surat Al Qur'an,Mei - Juni,Dalil 3 Sukses Generus
216,SMA 1,Hafalan Surat Al Qur'an,Maret - April,Dalil 4 TK
217,SMA 1,Hafalan Surat Al Qur'an,November - Desember,Dalil 5 Bab (masing-masing 2 dalil)
218,SMA 1,Materi Dasar Keagamaan,Juli,Dasar Aqidah
219,SMA 1,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
220,SMA 1,Materi Dasar Keagamaan,Mei,Hukum Mahram
221,SMA 1,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
222,SMA 1,Tulis Huruf Arab,Januari,Juz 8
223,SMA 1,Tulis Huruf Arab,Februari - Maret,Juz 9
224,SMA 1,Tulis Huruf Arab,April - Juni,K. Imaroh
225,SMA 1,Tulis Huruf Arab,November - Desember,K. Janaiz
226,SMA 1,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
227,SMA 1,Akhlaq,September - Oktober,Keluarga
228,SMA 1,Mandiri,September - Oktober,Kemandirian dalam keluarga
229,SMA 1,Mandiri,November - Desember,Kemandirian dalam lingkungan jamaah dan sekolah
230,SMA 1,Mandiri,Juli - Agustus,Kemandirian pribadi
231,SMA 1,Materi Dasar Keagamaan,September,Kemurnian ibadah
232,SMA 1,Mandiri,Januari - Maret,Keterampilan Generus Putra
233,SMA 1,Mandiri,April - Juni,Keterampilan Generus Putri
234,SMA 1,Adab/ Tatakrama,Februari,Ketika Bersin
235,SMA 1,Adab/ Tatakrama,Oktober,Ketika Di Masjid
236,SMA 1,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
237,SMA 1,Adab/ Tatakrama,Februari,Ketika Menguap
238,SMA 1,Akhlaq,April - Juni,Lingkungan dan alam sekitar
239,SMA 1,Tulis Huruf Arab,Juli - Agustus,Makna Juz 7
240,SMA 1,Tulis Huruf Arab,September - Oktober,Makna Juz 8
241,SMA 1,Materi Dasar Keagamaan,Januari,Mandi Junub
242,SMA 1,Akhlaq,Januari - Maret,Masyarakat
243,SMA 1,Praktik Ibadah,Oktober - Desember,Mempraktikkan doa-doa yang telah dihafal
244,SMA 1,Praktik Ibadah,April - Juni,Mempraktikkan doa-doa yang telah dihafal
245,SMA 1,Praktik Ibadah,Juli - September,Mempraktikkan puasa sunah
246,SMA 1,Praktik Ibadah,Januari - Maret,Mempraktikkan puasa sunah
247,SMA 1,Baca Huruf Quran,Juli - Juni,Menderes Harian
248,SMA 1,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
249,SMA 1,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
250,SMA 1,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
251,SMA 1,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
252,SMA 1,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
253,SMA 1,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
254,SMA 1,Akhlaq,Juli - Agustus,Pribadi
255,SMA 1,Materi Dasar Keagamaan,April,Puasa Romadlon
256,SMA 1,Materi Dasar Keagamaan,Mei,Puasa Sunnah
257,SMA 1,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
258,SMA 1,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud dan tasbih"
259,SMA 1,Hafalan Surat Al Qur'an,Januari - Februari,Surat Al Baqoroh 1-4
260,SMA 1,Hafalan Surat Al Qur'an,Juli - Oktober,Surat Al Mulk
261,SMA 1,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
262,SMA 1,Adab/ Tatakrama,April,Tata krama bersepeda
263,SMA 1,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
264,SMA 1,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
265,SMA 1,Adab/ Tatakrama,Maret,Terhadap Kerabat
266,SMA 1,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
